Timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0,0.31,-0.16,0.93,-5.73,-4.93,7.02
0.01,0.3,-0.18,0.96,-3.37,-7.77,5.71
0.02,0.32,-0.19,0.93,-0.69,0.58,5.19
0.03,0.3,-0.19,0.93,0.84,2.95,5.62
0.04,0.31,-0.19,0.92,1.8,1.66,5.53
0.05,0.3,-0.2,0.93,1.66,-0.05,5.24
0.060000000000000005,0.3,-0.19,0.93,1.3,1.6,4.34
0.07,0.31,-0.19,0.92,0.9,1.71,3.31
0.08,0.3,-0.2,0.91,0.7,1.34,2.0
0.09,0.3,-0.22,0.92,0.78,1.79,1.16
0.09999999999999999,0.3,-0.23,0.93,1.28,3.51,0.43
0.10999999999999999,0.28,-0.24,0.93,2.32,5.83,0.24
0.11999999999999998,0.26,-0.25,0.9,2.67,7.65,0.52
0.12999999999999998,0.23,-0.25,0.89,1.33,8.81,0.31
0.13999999999999999,0.2,-0.26,0.88,0.49,1.76,2.7
0.15,0.18,-0.31,0.9,0.27,-4.2,5.74
0.16,0.2,-0.35,0.93,1.79,-7.13,9.57
0.17,0.22,-0.4,0.96,4.52,-7.86,13.1
0.18000000000000002,0.27,-0.46,0.97,7.08,-7.83,17.33
0.19000000000000003,0.33,-0.5,0.96,7.57,-7.82,19.16
0.20000000000000004,0.38,-0.51,0.93,5.68,-3.74,17.62
0.21000000000000005,0.34,-0.52,0.86,1.85,1.18,13.69
0.22000000000000006,0.26,-0.49,0.83,-4.95,-1.45,16.61
0.23000000000000007,0.27,-0.52,0.86,-3.42,4.12,18.24
0.24000000000000007,0.27,-0.57,0.89,1.71,7.76,19.08
0.25000000000000006,0.28,-0.61,0.85,4.93,9.97,21.83
0.26000000000000006,0.26,-0.63,0.81,2.64,13.4,24.73
0.2700000000000001,0.25,-0.63,0.77,0.44,11.71,31.77
0.2800000000000001,0.24,-0.61,0.78,-3.85,3.27,41.15
