Timestamp,acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z
0,0.04,0.13,0.99,9.47,-7.47,7.27
0.01,0.06,0.14,0.98,11.25,-8.37,7.33
0.02,0.08,0.14,0.96,13.08,-7.34,6.53
0.03,0.07,0.15,0.92,12.09,-5.73,6.35
0.04,0.06,0.16,0.91,10.14,-7.79,7.16
0.05,0.07,0.16,0.91,8.5,-8.58,8.79
0.060000000000000005,0.08,0.16,0.9,7.1,-8.29,9.8
0.07,0.09,0.17,0.92,6.84,-7.73,10.11
0.08,0.1,0.19,0.91,7.1,-6.41,9.83
0.09,0.1,0.19,0.91,6.75,-6.37,8.7
0.09999999999999999,0.13,0.19,0.92,6.89,-6.43,6.72
0.10999999999999999,0.15,0.19,0.92,8.02,-2.6,1.6
0.11999999999999998,0.13,0.2,0.91,8.34,0.31,-2.17
0.12999999999999998,0.1,0.2,0.9,7.33,0.15,-3.57
0.13999999999999999,0.09,0.2,0.89,6.6,-2.75,-4.06
0.15,0.08,0.2,0.89,4.38,-6.03,-3.88
0.16,0.08,0.2,0.89,3.63,-7.18,-3.36
0.17,0.1,0.18,0.91,3.27,-7.18,-2.63
0.18000000000000002,0.11,0.18,0.91,3.45,-6.78,-1.98
0.19000000000000003,0.12,0.16,0.92,3.86,-1.47,-1.91
0.20000000000000004,0.13,0.16,0.91,5.16,1.4,-2.09
0.21000000000000005,0.13,0.15,0.91,6.89,2.14,-2.99
0.22000000000000006,0.12,0.15,0.9,9.08,5.22,-3.92
0.23000000000000007,0.1,0.13,0.89,10.79,5.74,-4.2
0.24000000000000007,0.09,0.12,0.86,12.32,5.3,-4.0
0.25000000000000006,0.09,0.1,0.83,13.85,3.71,-4.47
0.26000000000000006,0.08,0.07,0.81,15.44,-0.03,-4.87
0.2700000000000001,0.09,0.03,0.81,16.64,-4.87,-4.58
0.2800000000000001,0.1,-0.01,0.83,19.33,-6.26,-3.98
0.2900000000000001,0.09,-0.02,0.84,24.73,-6.34,-2.52
0.3000000000000001,0.07,0.01,0.83,30.67,-2.99,1.71
0.3100000000000001,0.04,0.04,0.78,37.05,4.56,8.08
0.3200000000000001,0.01,0.1,0.71,36.84,11.33,17.42
0.3300000000000001,-0.01,0.15,0.68,37.73,18.14,27.11
0.34000000000000014,-0.0,0.17,0.61,40.66,22.5,33.83
0.35000000000000014,0.01,0.18,0.56,42.56,17.95,36.72
0.36000000000000015,0.04,0.19,0.51,41.44,12.27,35.85
0.37000000000000016,0.05,0.16,0.48,39.36,0.67,32.82
0.38000000000000017,0.05,0.15,0.49,34.82,-11.3,28.75
0.3900000000000002,0.05,0.14,0.51,32.37,-21.98,25.62
0.4000000000000002,0.04,0.17,0.55,31.73,-24.73,23.48
0.4100000000000002,0.0,0.23,0.59,31.04,-27.04,23.39
0.4200000000000002,-0.02,0.29,0.54,32.14,-28.08,25.11
0.4300000000000002,-0.04,0.3,0.52,34.6,-29.04,26.63
